001|001|001|001|001|CUENTA CORRIENTE                                  |0.0|0.0|200296|Informix|18/11/2000|1|03|0|1|0||
002|001|001|001|001|CUENTA CORRIENTE                                  |0.0|0.0|565|Informix|18/11/2000|1||0|0|0||
003|001|001|001|001|CUENTA CORRIENTE                                  |0.0|0.0|5387|Informix|18/11/2000|1||0|0|0||
004|001|001|001|001|CUENTA CORRIENTE                                  |0.0|0.0|11204|Informix|18/11/2000|1||0|0|0||
007|005|001|001|001|SCOTIAN BANK|0.0|0.0|0|BETZY|27/12/2000|1||0|0|0||
001|006|001|001|001|RECLAMOS SALUD|128983.13|200000.0|41877|informix|11/07/2006|1|07|1|1|0||
005|007|001|001|001|30-10-01-001744-2|0.0|65000.0|273|FMARINAS|03/08/2006|1|09|0|0|0||
020|008|001|001|001|661827-DDACL-1-12066182017|5000.0|0.0|243|DMENDOZA|04/08/2006|1|13|0|0|0||
008|009|001|001|001|BANISTMO|0.0|0.0|39|DMENDOZA|07/08/2006|1|04|0|0|0||
017|010|001|001|001|CUENTA CORRIENTE|0.0|0.0|318|DMENDOZA|25/04/2007|1|10|0|0|0||
052|011|001|001|001|CUENTA CORRIENTE|0.0|50000.0|26|DMENDOZA|16/03/2009|1|16|0|0|0||
001|013|001|001|001|CHEQUERA DE PLANILLA|0.0|0.0|0|ANA|13/11/2009|1|18|0|0|0||
